STATEFP,COUNTYFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION,COUNTY
1,111,2010,HIVprevalence,36.6,Alabama,AL,Randolph County
1,59,2014,HIVprevalence,42.4,Alabama,AL,Franklin County
1,133,2010,HIVprevalence,43.4,Alabama,AL,Winston County
1,133,2015,HIVprevalence,43.9,Alabama,AL,Winston County
1,59,2010,HIVprevalence,46.1,Alabama,AL,Franklin County
1,59,2015,HIVprevalence,46.3,Alabama,AL,Franklin County
1,59,2008,HIVprevalence,47.4,Alabama,AL,Franklin County
1,111,2009,HIVprevalence,47.5,Alabama,AL,Randolph County
1,29,2010,HIVprevalence,48,Alabama,AL,Cleburne County
1,57,2010,HIVprevalence,48.1,Alabama,AL,Fayette County
1,77,2010,HIVprevalence,48.3,Alabama,AL,Lauderdale County
1,57,2011,HIVprevalence,48.4,Alabama,AL,Fayette County
1,133,2014,HIVprevalence,48.5,Alabama,AL,Winston County
1,57,2012,HIVprevalence,48.7,Alabama,AL,Fayette County
1,133,2008,HIVprevalence,49.2,Alabama,AL,Winston County
1,75,2010,HIVprevalence,49.2,Alabama,AL,Lamar County
1,133,2009,HIVprevalence,49.3,Alabama,AL,Winston County
1,71,2014,HIVprevalence,49.3,Alabama,AL,Jackson County
1,75,2008,HIVprevalence,49.6,Alabama,AL,Lamar County
1,59,2011,HIVprevalence,49.8,Alabama,AL,Franklin County
1,71,2012,HIVprevalence,51.3,Alabama,AL,Jackson County
1,59,2009,HIVprevalence,51.4,Alabama,AL,Franklin County
1,43,2008,HIVprevalence,51.6,Alabama,AL,Cullman County
1,111,2013,HIVprevalence,52.4,Alabama,AL,Randolph County
1,111,2011,HIVprevalence,52.5,Alabama,AL,Randolph County
1,111,2012,HIVprevalence,52.7,Alabama,AL,Randolph County
1,111,2008,HIVprevalence,52.8,Alabama,AL,Randolph County
1,133,2013,HIVprevalence,53.3,Alabama,AL,Winston County
1,77,2011,HIVprevalence,53.4,Alabama,AL,Lauderdale County
1,133,2016,HIVprevalence,53.7,Alabama,AL,Winston County
1,59,2012,HIVprevalence,53.8,Alabama,AL,Franklin County
1,59,2016,HIVprevalence,53.8,Alabama,AL,Franklin County
1,59,2013,HIVprevalence,53.9,Alabama,AL,Franklin County
1,43,2009,HIVprevalence,54.3,Alabama,AL,Cullman County
1,129,2010,HIVprevalence,54.9,Alabama,AL,Washington County
1,71,2013,HIVprevalence,55.7,Alabama,AL,Jackson County
1,29,2013,HIVprevalence,56,Alabama,AL,Cleburne County
1,57,2013,HIVprevalence,56,Alabama,AL,Fayette County
1,29,2011,HIVprevalence,56.2,Alabama,AL,Cleburne County
1,111,2016,HIVprevalence,57.5,Alabama,AL,Randolph County
1,71,2011,HIVprevalence,57.9,Alabama,AL,Jackson County
1,111,2014,HIVprevalence,58,Alabama,AL,Randolph County
1,133,2012,HIVprevalence,58.2,Alabama,AL,Winston County
1,71,2008,HIVprevalence,58.3,Alabama,AL,Jackson County
1,79,2011,HIVprevalence,59.4,Alabama,AL,Lawrence County
1,43,2010,HIVprevalence,59.5,Alabama,AL,Cullman County
1,79,2013,HIVprevalence,60,Alabama,AL,Lawrence County
1,71,2009,HIVprevalence,60.7,Alabama,AL,Jackson County
1,77,2008,HIVprevalence,61.9,Alabama,AL,Lauderdale County
1,77,2009,HIVprevalence,62.9,Alabama,AL,Lauderdale County
1,79,2012,HIVprevalence,63.3,Alabama,AL,Lawrence County
1,49,2010,HIVprevalence,63.9,Alabama,AL,DeKalb County
1,29,2012,HIVprevalence,64.4,Alabama,AL,Cleburne County
1,77,2012,HIVprevalence,64.5,Alabama,AL,Lauderdale County
1,49,2011,HIVprevalence,65.4,Alabama,AL,DeKalb County
1,79,2010,HIVprevalence,66,Alabama,AL,Lawrence County
1,79,2008,HIVprevalence,66.3,Alabama,AL,Lawrence County
1,75,2009,HIVprevalence,66.7,Alabama,AL,Lamar County
1,43,2012,HIVprevalence,66.8,Alabama,AL,Cullman County
1,43,2011,HIVprevalence,66.9,Alabama,AL,Cullman County
1,49,2013,HIVprevalence,66.9,Alabama,AL,DeKalb County
1,71,2010,HIVprevalence,67,Alabama,AL,Jackson County
1,133,2011,HIVprevalence,67.7,Alabama,AL,Winston County
1,57,2009,HIVprevalence,67.9,Alabama,AL,Fayette County
1,21,2008,HIVprevalence,68.1,Alabama,AL,Chilton County
1,77,2013,HIVprevalence,68.1,Alabama,AL,Lauderdale County
1,49,2012,HIVprevalence,68.8,Alabama,AL,DeKalb County
1,33,2013,HIVprevalence,69.2,Alabama,AL,Colbert County
1,71,2015,HIVprevalence,69.7,Alabama,AL,Jackson County
1,79,2009,HIVprevalence,69.8,Alabama,AL,Lawrence County
1,129,2009,HIVprevalence,70.1,Alabama,AL,Washington County
1,129,2008,HIVprevalence,70.2,Alabama,AL,Washington County
1,21,2009,HIVprevalence,70.4,Alabama,AL,Chilton County
1,95,2010,HIVprevalence,70.7,Alabama,AL,Marshall County
1,9,2008,HIVprevalence,71.1,Alabama,AL,Blount County
1,19,2008,HIVprevalence,72.1,Alabama,AL,Cherokee County
1,77,2014,HIVprevalence,72.8,Alabama,AL,Lauderdale County
1,117,2009,HIVprevalence,73.3,Alabama,AL,Shelby County
1,49,2014,HIVprevalence,73.4,Alabama,AL,DeKalb County
1,9,2011,HIVprevalence,73.5,Alabama,AL,Blount County
1,55,2010,HIVprevalence,74.1,Alabama,AL,Etowah County
1,131,2010,HIVprevalence,74.2,Alabama,AL,Wilcox County
1,71,2016,HIVprevalence,74.3,Alabama,AL,Jackson County
1,43,2015,HIVprevalence,74.4,Alabama,AL,Cullman County
1,75,2011,HIVprevalence,74.7,Alabama,AL,Lamar County
1,117,2010,HIVprevalence,75,Alabama,AL,Shelby County
1,117,2008,HIVprevalence,75.4,Alabama,AL,Shelby County
1,49,2015,HIVprevalence,76.5,Alabama,AL,DeKalb County
1,43,2013,HIVprevalence,76.7,Alabama,AL,Cullman County
1,19,2010,HIVprevalence,76.9,Alabama,AL,Cherokee County
1,9,2012,HIVprevalence,77.5,Alabama,AL,Blount County
1,49,2009,HIVprevalence,77.9,Alabama,AL,DeKalb County
1,43,2014,HIVprevalence,77.9,Alabama,AL,Cullman County
1,77,2015,HIVprevalence,78.1,Alabama,AL,Lauderdale County
1,43,2016,HIVprevalence,78.2,Alabama,AL,Cullman County
1,21,2010,HIVprevalence,78.3,Alabama,AL,Chilton County
1,49,2008,HIVprevalence,78.5,Alabama,AL,DeKalb County
1,103,2010,HIVprevalence,78.6,Alabama,AL,Morgan County
1,9,2014,HIVprevalence,79.2,Alabama,AL,Blount County
1,123,2010,HIVprevalence,79.8,Alabama,AL,Tallapoosa County
1,29,2014,HIVprevalence,79.9,Alabama,AL,Cleburne County
1,33,2012,HIVprevalence,80.1,Alabama,AL,Colbert County
1,57,2008,HIVprevalence,80.7,Alabama,AL,Fayette County
1,9,2009,HIVprevalence,80.7,Alabama,AL,Blount County
1,79,2014,HIVprevalence,81.3,Alabama,AL,Lawrence County
1,79,2016,HIVprevalence,81.8,Alabama,AL,Lawrence County
1,79,2015,HIVprevalence,82,Alabama,AL,Lawrence County
1,75,2012,HIVprevalence,83.1,Alabama,AL,Lamar County
1,129,2011,HIVprevalence,83.2,Alabama,AL,Washington County
1,111,2015,HIVprevalence,83.6,Alabama,AL,Randolph County
1,115,2009,HIVprevalence,83.7,Alabama,AL,St. Clair County
1,115,2008,HIVprevalence,83.9,Alabama,AL,St. Clair County
1,33,2009,HIVprevalence,84.3,Alabama,AL,Colbert County
1,33,2008,HIVprevalence,84.5,Alabama,AL,Colbert County
1,33,2011,HIVprevalence,84.5,Alabama,AL,Colbert County
1,129,2016,HIVprevalence,85.1,Alabama,AL,Washington County
1,27,2010,HIVprevalence,85.2,Alabama,AL,Clay County
1,19,2009,HIVprevalence,86.3,Alabama,AL,Cherokee County
1,27,2011,HIVprevalence,86.4,Alabama,AL,Clay County
1,33,2014,HIVprevalence,86.5,Alabama,AL,Colbert County
1,127,2010,HIVprevalence,87,Alabama,AL,Walker County
1,27,2012,HIVprevalence,87.7,Alabama,AL,Clay County
1,9,2013,HIVprevalence,87.8,Alabama,AL,Blount County
1,25,2008,HIVprevalence,88.2,Alabama,AL,Clarke County
1,49,2016,HIVprevalence,88.3,Alabama,AL,DeKalb County
1,9,2010,HIVprevalence,88.5,Alabama,AL,Blount County
1,33,2010,HIVprevalence,88.9,Alabama,AL,Colbert County
1,19,2015,HIVprevalence,90.2,Alabama,AL,Cherokee County
1,129,2013,HIVprevalence,91.2,Alabama,AL,Washington County
1,129,2014,HIVprevalence,91.2,Alabama,AL,Washington County
1,39,2010,HIVprevalence,91.3,Alabama,AL,Covington County
1,57,2015,HIVprevalence,91.8,Alabama,AL,Fayette County
1,77,2016,HIVprevalence,91.9,Alabama,AL,Lauderdale County
1,21,2011,HIVprevalence,92,Alabama,AL,Chilton County
1,33,2015,HIVprevalence,93.2,Alabama,AL,Colbert County
1,115,2010,HIVprevalence,93.5,Alabama,AL,St. Clair County
1,9,2015,HIVprevalence,93.6,Alabama,AL,Blount County
1,123,2011,HIVprevalence,94.3,Alabama,AL,Tallapoosa County
1,19,2011,HIVprevalence,94.8,Alabama,AL,Cherokee County
1,93,2010,HIVprevalence,95.7,Alabama,AL,Marion County
1,93,2011,HIVprevalence,96.1,Alabama,AL,Marion County
1,103,2011,HIVprevalence,96.4,Alabama,AL,Morgan County
1,15,2010,HIVprevalence,96.8,Alabama,AL,Calhoun County
1,29,2009,HIVprevalence,96.9,Alabama,AL,Cleburne County
1,29,2008,HIVprevalence,97,Alabama,AL,Cleburne County
1,91,2010,HIVprevalence,97.6,Alabama,AL,Marengo County
1,129,2012,HIVprevalence,97.6,Alabama,AL,Washington County
1,57,2014,HIVprevalence,98.4,Alabama,AL,Fayette County
1,129,2015,HIVprevalence,98.6,Alabama,AL,Washington County
1,91,2011,HIVprevalence,98.7,Alabama,AL,Marengo County
1,95,2008,HIVprevalence,98.8,Alabama,AL,Marshall County
1,95,2009,HIVprevalence,99.2,Alabama,AL,Marshall County
1,57,2016,HIVprevalence,99.5,Alabama,AL,Fayette County
1,7,2009,HIVprevalence,99.6,Alabama,AL,Bibb County
1,33,2016,HIVprevalence,99.7,Alabama,AL,Colbert County
1,21,2015,HIVprevalence,99.8,Alabama,AL,Chilton County
1,9,2016,HIVprevalence,99.8,Alabama,AL,Blount County
1,7,2008,HIVprevalence,99.9,Alabama,AL,Bibb County
