STATEFP,COUNTYFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION,COUNTY
1,1,2015,pctunins,10.1,Alabama,AL,Autauga County
1,1,2016,pctunins,8.9,Alabama,AL,Autauga County
1,3,2015,pctunins,13,Alabama,AL,Baldwin County
1,3,2016,pctunins,11.8,Alabama,AL,Baldwin County
1,5,2015,pctunins,15.5,Alabama,AL,Barbour County
1,5,2016,pctunins,13,Alabama,AL,Barbour County
1,7,2015,pctunins,9.7,Alabama,AL,Bibb County
1,7,2016,pctunins,9,Alabama,AL,Bibb County
1,9,2015,pctunins,11.6,Alabama,AL,Blount County
1,9,2016,pctunins,11.2,Alabama,AL,Blount County
1,11,2015,pctunins,18.1,Alabama,AL,Bullock County
1,11,2016,pctunins,16.7,Alabama,AL,Bullock County
1,13,2015,pctunins,12.3,Alabama,AL,Butler County
1,13,2016,pctunins,11.8,Alabama,AL,Butler County
1,15,2015,pctunins,11.9,Alabama,AL,Calhoun County
1,15,2016,pctunins,10.9,Alabama,AL,Calhoun County
1,17,2015,pctunins,13.9,Alabama,AL,Chambers County
1,17,2016,pctunins,11.8,Alabama,AL,Chambers County
1,19,2015,pctunins,9.9,Alabama,AL,Cherokee County
1,19,2016,pctunins,9.5,Alabama,AL,Cherokee County
1,21,2015,pctunins,16,Alabama,AL,Chilton County
1,21,2016,pctunins,15.8,Alabama,AL,Chilton County
1,23,2015,pctunins,13.4,Alabama,AL,Choctaw County
1,23,2016,pctunins,11.5,Alabama,AL,Choctaw County
1,25,2015,pctunins,15.2,Alabama,AL,Clarke County
1,25,2016,pctunins,13.3,Alabama,AL,Clarke County
1,27,2015,pctunins,14.4,Alabama,AL,Clay County
1,27,2016,pctunins,12.9,Alabama,AL,Clay County
1,29,2015,pctunins,13.7,Alabama,AL,Cleburne County
1,29,2016,pctunins,13.8,Alabama,AL,Cleburne County
1,31,2015,pctunins,11.6,Alabama,AL,Coffee County
1,31,2016,pctunins,10.7,Alabama,AL,Coffee County
1,33,2015,pctunins,11.1,Alabama,AL,Colbert County
1,33,2016,pctunins,9.1,Alabama,AL,Colbert County
1,35,2015,pctunins,20.8,Alabama,AL,Conecuh County
1,35,2016,pctunins,19.1,Alabama,AL,Conecuh County
1,37,2015,pctunins,15.5,Alabama,AL,Coosa County
1,37,2016,pctunins,12.6,Alabama,AL,Coosa County
1,39,2015,pctunins,13.3,Alabama,AL,Covington County
1,39,2016,pctunins,12.4,Alabama,AL,Covington County
1,41,2015,pctunins,12.3,Alabama,AL,Crenshaw County
1,41,2016,pctunins,11.3,Alabama,AL,Crenshaw County
1,43,2015,pctunins,15,Alabama,AL,Cullman County
1,43,2016,pctunins,14.5,Alabama,AL,Cullman County
1,45,2015,pctunins,13.4,Alabama,AL,Dale County
1,45,2016,pctunins,13.1,Alabama,AL,Dale County
1,47,2015,pctunins,14,Alabama,AL,Dallas County
1,47,2016,pctunins,12.5,Alabama,AL,Dallas County
1,49,2015,pctunins,16.9,Alabama,AL,DeKalb County
1,49,2016,pctunins,16,Alabama,AL,DeKalb County
1,51,2015,pctunins,9.4,Alabama,AL,Elmore County
1,51,2016,pctunins,8.8,Alabama,AL,Elmore County
1,53,2015,pctunins,18.5,Alabama,AL,Escambia County
1,53,2016,pctunins,17.6,Alabama,AL,Escambia County
1,55,2015,pctunins,13.1,Alabama,AL,Etowah County
1,55,2016,pctunins,12.1,Alabama,AL,Etowah County
1,57,2015,pctunins,9.5,Alabama,AL,Fayette County
1,57,2016,pctunins,8.4,Alabama,AL,Fayette County
1,59,2015,pctunins,15.8,Alabama,AL,Franklin County
1,59,2016,pctunins,14.1,Alabama,AL,Franklin County
1,61,2015,pctunins,15.4,Alabama,AL,Geneva County
1,61,2016,pctunins,14.7,Alabama,AL,Geneva County
1,63,2015,pctunins,14.6,Alabama,AL,Greene County
1,63,2016,pctunins,14,Alabama,AL,Greene County
1,65,2015,pctunins,12.3,Alabama,AL,Hale County
1,65,2016,pctunins,11.1,Alabama,AL,Hale County
1,67,2015,pctunins,12.3,Alabama,AL,Henry County
1,67,2016,pctunins,11.5,Alabama,AL,Henry County
1,69,2015,pctunins,12.8,Alabama,AL,Houston County
1,69,2016,pctunins,12.1,Alabama,AL,Houston County
1,71,2015,pctunins,14.3,Alabama,AL,Jackson County
1,71,2016,pctunins,11.9,Alabama,AL,Jackson County
1,73,2015,pctunins,11.8,Alabama,AL,Jefferson County
1,73,2016,pctunins,10.9,Alabama,AL,Jefferson County
1,75,2015,pctunins,13.3,Alabama,AL,Lamar County
1,75,2016,pctunins,12.7,Alabama,AL,Lamar County
1,77,2015,pctunins,11.3,Alabama,AL,Lauderdale County
1,77,2016,pctunins,11,Alabama,AL,Lauderdale County
1,79,2015,pctunins,11.4,Alabama,AL,Lawrence County
1,79,2016,pctunins,11,Alabama,AL,Lawrence County
1,81,2015,pctunins,10.5,Alabama,AL,Lee County
1,81,2016,pctunins,9.5,Alabama,AL,Lee County
1,83,2015,pctunins,12.6,Alabama,AL,Limestone County
1,83,2016,pctunins,12.5,Alabama,AL,Limestone County
1,85,2015,pctunins,13.6,Alabama,AL,Lowndes County
1,85,2016,pctunins,12.7,Alabama,AL,Lowndes County
1,87,2015,pctunins,12.4,Alabama,AL,Macon County
1,87,2016,pctunins,10.8,Alabama,AL,Macon County
1,89,2015,pctunins,11.9,Alabama,AL,Madison County
1,89,2016,pctunins,10.3,Alabama,AL,Madison County
1,91,2015,pctunins,12,Alabama,AL,Marengo County
1,91,2016,pctunins,12.2,Alabama,AL,Marengo County
1,93,2015,pctunins,11.8,Alabama,AL,Marion County
1,93,2016,pctunins,9.6,Alabama,AL,Marion County
1,95,2015,pctunins,16.9,Alabama,AL,Marshall County
1,95,2016,pctunins,15.4,Alabama,AL,Marshall County
1,97,2015,pctunins,14.2,Alabama,AL,Mobile County
1,97,2016,pctunins,13.2,Alabama,AL,Mobile County
1,99,2015,pctunins,16.9,Alabama,AL,Monroe County
1,99,2016,pctunins,16.4,Alabama,AL,Monroe County
1,101,2015,pctunins,12.9,Alabama,AL,Montgomery County
1,101,2016,pctunins,12.1,Alabama,AL,Montgomery County
1,103,2015,pctunins,14.7,Alabama,AL,Morgan County
1,103,2016,pctunins,12.6,Alabama,AL,Morgan County
1,105,2015,pctunins,14.4,Alabama,AL,Perry County
1,105,2016,pctunins,15.4,Alabama,AL,Perry County
1,107,2015,pctunins,13,Alabama,AL,Pickens County
1,107,2016,pctunins,11.1,Alabama,AL,Pickens County
1,109,2015,pctunins,10.7,Alabama,AL,Pike County
1,109,2016,pctunins,10.6,Alabama,AL,Pike County
1,111,2015,pctunins,14.3,Alabama,AL,Randolph County
1,111,2016,pctunins,11.9,Alabama,AL,Randolph County
1,113,2015,pctunins,16.3,Alabama,AL,Russell County
1,113,2016,pctunins,15.2,Alabama,AL,Russell County
1,115,2015,pctunins,10.6,Alabama,AL,St. Clair County
1,115,2016,pctunins,9,Alabama,AL,St. Clair County
1,117,2015,pctunins,8.9,Alabama,AL,Shelby County
1,117,2016,pctunins,8.2,Alabama,AL,Shelby County
1,119,2015,pctunins,19.2,Alabama,AL,Sumter County
1,119,2016,pctunins,18.2,Alabama,AL,Sumter County
1,121,2015,pctunins,12.7,Alabama,AL,Talladega County
1,121,2016,pctunins,11.1,Alabama,AL,Talladega County
1,123,2015,pctunins,11.9,Alabama,AL,Tallapoosa County
1,123,2016,pctunins,10.7,Alabama,AL,Tallapoosa County
1,125,2015,pctunins,10.3,Alabama,AL,Tuscaloosa County
1,125,2016,pctunins,9.7,Alabama,AL,Tuscaloosa County
1,127,2015,pctunins,13.5,Alabama,AL,Walker County
1,127,2016,pctunins,12.6,Alabama,AL,Walker County
1,129,2015,pctunins,15.5,Alabama,AL,Washington County
1,129,2016,pctunins,13.7,Alabama,AL,Washington County
1,131,2015,pctunins,16.4,Alabama,AL,Wilcox County
1,131,2016,pctunins,15.2,Alabama,AL,Wilcox County
1,133,2015,pctunins,13.4,Alabama,AL,Winston County
1,133,2016,pctunins,12.9,Alabama,AL,Winston County
2,13,2015,pctunins,56.3,Alaska,AK,Aleutians East Borough
2,13,2016,pctunins,52,Alaska,AK,Aleutians East Borough
2,16,2015,pctunins,24.2,Alaska,AK,Aleutians West Census Area
2,16,2016,pctunins,21.3,Alaska,AK,Aleutians West Census Area
2,20,2015,pctunins,15.5,Alaska,AK,Anchorage Municipality
2,20,2016,pctunins,14.5,Alaska,AK,Anchorage Municipality
2,50,2015,pctunins,25.6,Alaska,AK,Bethel Census Area
2,50,2016,pctunins,25.1,Alaska,AK,Bethel Census Area
2,60,2015,pctunins,19.9,Alaska,AK,Bristol Bay Borough
